countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate,Late,countlate,repeatCust,InvoiceQuarter,InvoiceAmount_bin_b. more than 60,Prediction
391,2,4/6/2013,611365,2013-01-02,2/1/2013,55.94,0,1/15/2013,1,13,0,0,0,1.0,1,0,0.00013259661066157934
406,83,3/3/2012,7900770,2013-01-26,2/25/2013,61.74,1,3/3/2013,0,36,6,1,0,5.0,1,1,5.999884126939366
391,21,1/26/2012,9231909,2013-07-03,8/2/2013,65.88,0,7/8/2013,0,5,0,0,0,0.0,3,1,0.00013259661066157934
406,92,4/6/2012,9888306,2013-02-10,3/12/2013,105.92,0,3/17/2013,0,35,5,1,0,17.0,1,1,4.9998847659514
818,55,11/26/2012,15752855,2012-10-25,11/24/2012,72.27,1,11/28/2012,1,34,4,1,0,9.0,4,1,3.9999164690535545
818,37,8/28/2013,18104516,2012-01-27,2/26/2012,94.0,1,2/22/2012,1,26,0,0,0,13.0,1,1,0.00013259661066157934
897,79,12/5/2012,23864272,2013-08-13,9/12/2013,74.69,0,9/9/2013,0,27,0,0,0,26.0,3,1,0.00013259661066157934
770,33,6/27/2013,27545037,2012-12-16,1/15/2013,75.06,0,1/12/2013,1,27,0,0,0,25.0,4,1,0.00013259661066157934
770,30,3/8/2013,28049695,2012-05-14,6/13/2012,80.07,1,7/1/2012,1,48,18,1,0,19.0,2,1,17.99944578599939
897,68,4/4/2012,32277701,2013-07-01,7/31/2013,48.33,0,7/26/2013,0,25,0,0,0,5.0,3,0,0.00013259661066157934
770,31,12/31/2012,35868002,2012-03-31,4/30/2012,75.33,0,4/16/2012,1,16,0,0,0,0.0,1,1,0.00013259661066157934
406,40,9/11/2012,36478577,2013-08-07,9/6/2013,73.35,0,8/15/2013,0,8,0,0,0,2.0,3,1,0.00013259661066157934
818,47,6/6/2013,36620839,2013-05-08,6/7/2013,90.08,1,6/9/2013,1,32,2,1,0,6.0,2,1,1.9999121309239414
406,85,7/5/2013,41324194,2012-10-21,11/20/2012,57.17,0,11/30/2012,1,40,10,1,0,19.0,4,0,9.999821092604682
